Key,Id,Japanese (Japan)(ja-JP),English (United States)(en-US),Korean(ko),Chinese (Simplified)(zh-Hans)
SKILL_DESC_RECOIL_REDUCE_2,5465945267470336,"反動 
-<color=#FFFFFF>40%</color> → <color=#FFFFFF>60%</color>","Recoil 
-<color=#FFFFFF>40%</color> → <color=#FFFFFF>60%</color>","반동
-<color=#FFFFFF>40%</color> → <color=#FFFFFF>60%</color>","后坐力 
-<color=#FFFFFF>40%</color> → <color=#FFFFFF>60%</color>"
SKILL_DESC_RECOIL_REDUCE_3,5465946542538752,"反動 
-<color=#FFFFFF>60%</color> → <color=#FFFFFF>80%</color>.","Recoil 
-<color=#FFFFFF>60%</color> → <color=#FFFFFF>80%</color>.","반동 
-<color=#FFFFFF>60%</color> → <color=#FFFFFF>80%</color>","后坐力 
-<color=#FFFFFF>60%</color> → <color=#FFFFFF>80%</color>。"
SKILL_DESC_RECOIL_REDUCE_4,5465947926659072,"反動 
-<color=#FFFFFF>80%</color> → <color=#FF0000>99%</color>","Recoil 
-<color=#FFFFFF>80%</color> → <color=#FF0000>99%</color>","반동
-<color=#FFFFFF>80%</color> → <color=#FF0000>99%</color>","后坐力 
-<color=#FFFFFF>80%</color> → <color=#FF0000>99%</color>"
SKILL_DESC_RECOIL_REDUCE_5,5465949235281920,反動 -<color=#FF0000>99%</color>,Recoil -<color=#FF0000>99%</color>,"반동 
-<color=#FF0000>99%</color> ",后坐力 -<color=#FF0000>99%</color>
SKILL_DESC_HEART_OF_BERSERKER_0,5781183346999296,"+<color=#FFFFFF>10%</color> ダメージ
HPが10%失われるごとに","+<color=#FFFFFF>10%</color> Damage
per 10 % HP lost","잃은 체력 10%당 데미지
+<color=#FFFFFF>10%</color>",每损失10%生命值，+<color=#FFFFFF>10%</color> Damage伤害。
SKILL_DESC_HEART_OF_BERSERKER_1,5786159494430720,"+<color=#FFFFFF>10%</color> → <color=#FFFFFF>20%</color> ダメージ
HPが10%失われるごとに","+<color=#FFFFFF>10%</color> → <color=#FFFFFF>20%</color> Damage
per 10 % HP lost","잃은 체력 10%당 데미지
+<color=#FFFFFF>10%</color> → <color=#FFFFFF>20%</color>",每损失10%生命值，+<color=#FFFFFF>10%</color> → <color=#FFFFFF>20%</color> Damage伤害。
SKILL_DESC_HEART_OF_BERSERKER_2,5786161755160576,"+<color=#FFFFFF>20%</color> → <color=#FFFFFF>30%</color> ダメージ
HPが10%失われるごとに","+<color=#FFFFFF>20%</color> → <color=#FFFFFF>30%</color> Damage
per 10 % HP lost","잃은 체력 10%당 데미지
+<color=#FFFFFF>20%</color> → <color=#FFFFFF>30%</color>",每损失10%生命值，+<color=#FFFFFF>20%</color> → <color=#FFFFFF>30%</color> Damage伤害。
SKILL_DESC_HEART_OF_BERSERKER_3,5786163034423296,"+<color=#FFFFFF>30%</color> → <color=#FFFFFF>40%</color> ダメージ
HPが10%失われるごとに","+<color=#FFFFFF>30%</color> → <color=#FFFFFF>40%</color> Damage
per 10 % HP lost","잃은 체력 10%당 데미지
+<color=#FFFFFF>30%</color> → <color=#FFFFFF>40%</color>",每损失10%生命值，+<color=#FFFFFF>30%</color> → <color=#FFFFFF>40%</color> Damage伤害。
SKILL_DESC_HEART_OF_BERSERKER_4,5786164351434752,"+<color=#FFFFFF>40%</color> → <color=#FF0000>50%</color> ダメージ
HPが10%失われるごとに","+<color=#FFFFFF>40%</color> → <color=#FF0000>50%</color> Damage
per 10 % HP lost","잃은 체력 10%당 데미지
+<color=#FFFFFF>40%</color> → <color=#FF0000>50%</color>",每损失10%生命值，+<color=#FFFFFF>40%</color> → <color=#FF0000>50%</color> Damage伤害。
SKILL_DESC_HEART_OF_BERSERKER_5,5786166385672192,"+<color=#FF0000>50%</color> ダメージ
HPが10%失われるごとに","+<color=#FF0000>50%</color> Damage
per 10 % HP lost","잃은 체력 10%당 데미지
+<color=#FF0000>50%</color>",每损失10%生命值，+<color=#FF0000>50%</color> Damage伤害。
SKILL_DESC_EVASION_0,5830669477838848,"回避率
+<color=#FFFFFF>10%</color>","Evasion rate
+<color=#FFFFFF>10%</color>","회피율
+<color=#FFFFFF>10%</color>
","闪避率
+<color=#FFFFFF>10%</color>"
SKILL_DESC_EVASION_1,5830671973449728,"回避率
+<color=#FFFFFF>10%</color> → <color=#FFFFFF>20%</color>","Evasion rate
+<color=#FFFFFF>10%</color> → <color=#FFFFFF>20%</color>","회피율
+<color=#FFFFFF>10%</color> → <color=#FFFFFF>20%</color>","闪避率
+<color=#FFFFFF>10%</color> → <color=#FFFFFF>20%</color>"
SKILL_DESC_EVASION_2,5830674439700480,"回避率
+<color=#FFFFFF>20%</color> → <color=#FFFFFF>30%</color>","Evasion rate
+<color=#FFFFFF>20%</color> → <color=#FFFFFF>30%</color>","회피율
+<color=#FFFFFF>20%</color> → <color=#FFFFFF>30%</color>","闪避率
+<color=#FFFFFF>20%</color> → <color=#FFFFFF>30%</color>"
SKILL_DESC_EVASION_3,5830677275049984,"回避率
+<color=#FFFFFF>30%</color> → <color=#FFFFFF>40%</color>","Evasion rate
+<color=#FFFFFF>30%</color> → <color=#FFFFFF>40%</color>","회피율
+<color=#FFFFFF>30%</color> → <color=#FFFFFF>40%</color>","闪避率
+<color=#FFFFFF>30%</color> → <color=#FFFFFF>40%</color>"
SKILL_DESC_EVASION_4,5830679728717824,"回避率
+<color=#FFFFFF>40%</color> → <color=#FF0000>50%</color>","Evasion rate
+<color=#FFFFFF>40%</color> → <color=#FF0000>50%</color>","회피율
+<color=#FFFFFF>40%</color> → <color=#FF0000>50%</color>","闪避率
+<color=#FFFFFF>40%</color> → <color=#FF0000>50%</color>"
SKILL_DESC_EVASION_5,5830681901367296,"回避率
+<color=#FF0000>50%</color>","Evasion rate
+<color=#FF0000>50%</color>","회피율
+<color=#FF0000>50%</color>","闪避率
+<color=#FF0000>50%</color>"
SKILL_DESC_DAMAGE_REDUCTION_0,5835283531005952,"被弾量
-<color=#FFFFFF>10%</color>
","Damage taken
-<color=#FFFFFF>10%</color>
","받는 피해
-<color=#FFFFFF>10%</color>
","承受伤害
-<color=#FFFFFF>10%</color>
"
SKILL_DESC_DAMAGE_REDUCTION_1,5835285913370624,"被弾量
-<color=#FFFFFF>10%</color> → <color=#FFFFFF>20%</color>","Damage taken
-<color=#FFFFFF>10%</color> → <color=#FFFFFF>20%</color>","받는 피해
-<color=#FFFFFF>10%</color> → <color=#FFFFFF>20%</color>","承受伤害
-<color=#FFFFFF>10%</color> → <color=#FFFFFF>20%</color>"
SKILL_DESC_DAMAGE_REDUCTION_2,5835287024861184,"被弾量
-<color=#FFFFFF>20%</color> → <color=#FFFFFF>30%</color>","Damage taken
-<color=#FFFFFF>20%</color> → <color=#FFFFFF>30%</color>","받는 피해
-<color=#FFFFFF>20%</color> → <color=#FFFFFF>30%</color>","承受伤害
-<color=#FFFFFF>20%</color> → <color=#FFFFFF>30%</color>"
SKILL_DESC_DAMAGE_REDUCTION_3,5835288304123904,"被弾量
-<color=#FFFFFF>30%</color> → <color=#FFFFFF>40%</color>","Damage taken
-<color=#FFFFFF>30%</color> → <color=#FFFFFF>40%</color>","받는 피해
-<color=#FFFFFF>30%</color> → <color=#FFFFFF>40%</color>","承受伤害
-<color=#FFFFFF>30%</color> → <color=#FFFFFF>40%</color>"
SKILL_DESC_DAMAGE_REDUCTION_4,5835289407225856,"被弾量
-<color=#FFFFFF>40%</color> → <color=#FF0000>50%</color>","Damage taken
-<color=#FFFFFF>40%</color> → <color=#FF0000>50%</color>","받는 피해
-<color=#FFFFFF>40%</color> → <color=#FF0000>50%</color>","承受伤害
-<color=#FFFFFF>40%</color> → <color=#FF0000>50%</color>"
SKILL_DESC_DAMAGE_REDUCTION_5,5835290883620864,"被弾量
-<color=#FF0000>50%</color>","Damage taken
-<color=#FF0000>50%</color>","받는 피해
-<color=#FF0000>50%</color>","承受伤害
-<color=#FF0000>50%</color>"
SKILL_DESC_MAX_HEALTH_INCREASE_0,5941564644229120,"最大体力
+<color=#FFFFFF>50</color>","Max health
+<color=#FFFFFF>50</color>","최대 체력
+<color=#FFFFFF>50</color>","最大生命值
+<color=#FFFFFF>50</color>"
SKILL_DESC_MAX_HEALTH_INCREASE_1,5941567211143168,"最大体力
+<color=#FFFFFF>50</color> → <color=#FFFFFF>100</color>","Max health
+<color=#FFFFFF>50</color> → <color=#FFFFFF>100</color>","최대 체력
+<color=#FFFFFF>50</color> → <color=#FFFFFF>100</color>","最大生命值
+<color=#FFFFFF>50</color> → <color=#FFFFFF>100</color>"
SKILL_DESC_MAX_HEALTH_INCREASE_2,5941568574291968,"最大体力
+<color=#FFFFFF>100</color> → <color=#FFFFFF>150</color>","Max health
+<color=#FFFFFF>100</color> → <color=#FFFFFF>150</color>","최대 체력
+<color=#FFFFFF>100</color> → <color=#FFFFFF>150</color>","最大生命值
+<color=#FFFFFF>100</color> → <color=#FFFFFF>150</color>"
SKILL_DESC_MAX_HEALTH_INCREASE_3,5941570403008512,"最大体力
+<color=#FFFFFF>150</color> → <color=#FFFFFF>200</color>","Max health
+<color=#FFFFFF>150</color> → <color=#FFFFFF>200</color>","최대 체력
+<color=#FFFFFF>150</color> → <color=#FFFFFF>200</color>","最大生命值
+<color=#FFFFFF>150</color> → <color=#FFFFFF>200</color>"
SKILL_DESC_MAX_HEALTH_INCREASE_4,5941571963289600,"最大体力
+<color=#FFFFFF>200</color> → <color=#FF0000>250</color>","Max health
+<color=#FFFFFF>200</color> → <color=#FF0000>250</color>","최대 체력
+<color=#FFFFFF>200</color> → <color=#FF0000>250</color>","最大生命值
+<color=#FFFFFF>200</color> → <color=#FF0000>250</color>"
SKILL_DESC_MAX_HEALTH_INCREASE_5,5941574224019456,"最大体力
+<color=#FF0000>250</color>","Max health
+<color=#FF0000>250</color>","최대 체력
+<color=#FF0000>250</color>","最大生命值
+<color=#FF0000>250</color>"
SKILL_DESC_MAGAZINE_INCREASE_0,5951059701235712,"装弾数
+<color=#FFFFFF>20%</color>","Ammo count
+<color=#FFFFFF>20%</color>","탄약 수
+<color=#FFFFFF>20%</color>","弹药容量
+<color=#FFFFFF>20%</color>"
SKILL_DESC_MAGAZINE_INCREASE_1,5951060309409792,"装弾数
+<color=#FFFFFF>20%</color> → <color=#FFFFFF>40%</color>","Ammo count
+<color=#FFFFFF>20%</color> → <color=#FFFFFF>40%</color>","탄약 수
+<color=#FFFFFF>20%</color> → <color=#FFFFFF>40%</color>","弹药容量
+<color=#FFFFFF>20%</color> → <color=#FFFFFF>40%</color>"
SKILL_DESC_MAGAZINE_INCREASE_2,5951061043412992,"装弾数
+<color=#FFFFFF>40%</color> → <color=#FFFFFF>60%</color>","Ammo count
+<color=#FFFFFF>40%</color> → <color=#FFFFFF>60%</color>","탄약 수
+<color=#FFFFFF>40%</color> → <color=#FFFFFF>60%</color>","弹药容量
+<color=#FFFFFF>40%</color> → <color=#FFFFFF>60%</color>"
SKILL_DESC_MAGAZINE_INCREASE_3,5951061852913664,"装弾数
+<color=#FFFFFF>60%</color> → <color=#FFFFFF>80%</color>","Ammo count
+<color=#FFFFFF>60%</color> → <color=#FFFFFF>80%</color>","탄약 수
+<color=#FFFFFF>60%</color> → <color=#FFFFFF>80%</color>","弹药容量
+<color=#FFFFFF>60%</color> → <color=#FFFFFF>80%</color>"
SKILL_DESC_MAGAZINE_INCREASE_4,5951062616276992,"装弾数
+<color=#FFFFFF>80%</color> → <color=#FF0000>100%</color>","Ammo count
+<color=#FFFFFF>80%</color> → <color=#FF0000>100%</color>","탄약 수
+<color=#FFFFFF>80%</color> → <color=#FF0000>100%</color>","弹药容量
+<color=#FFFFFF>80%</color> → <color=#FF0000>100%</color>"
SKILL_DESC_MAGAZINE_INCREASE_5,5951063673241600,"装弾数
+<color=#FF0000>100%</color>","Ammo count
+<color=#FF0000>100%</color>","탄약 수
+<color=#FF0000>100%</color>","弹药容量
+<color=#FF0000>100%</color>"
SKILL_DESC_ABSORB_HEALTH_0,5953585511104512,"+<color=#FFFFFF>1</color> HP
キル時","+<color=#FFFFFF>1</color> HP
on kill","적 처치시 체력 
+<color=#FFFFFF>1</color>",击杀时+<color=#FFFFFF>1</color> 生命值。
SKILL_DESC_ABSORB_HEALTH_1,5953586308022272,"+<color=#FFFFFF>1</color> → <color=#FFFFFF>2</color> HP
キル時","+<color=#FFFFFF>1</color> → <color=#FFFFFF>2</color> HP
on kill","적 처치시 체력
+<color=#FFFFFF>1</color> → <color=#FFFFFF>2</color> ",击杀时+<color=#FFFFFF>1</color> → <color=#FFFFFF>2</color> 生命值。
SKILL_DESC_ABSORB_HEALTH_2,5953615999500288,"+<color=#FFFFFF>2</color> → <color=#FFFFFF>3</color> HP
キル時","+<color=#FFFFFF>2</color> → <color=#FFFFFF>3</color> HP
on kill","적 처치시 체력
+<color=#FFFFFF>2</color> → <color=#FFFFFF>3</color> ",击杀时+<color=#FFFFFF>2</color> → <color=#FFFFFF>3</color> 生命值。
SKILL_DESC_ABSORB_HEALTH_3,5953617425563648,"+<color=#FFFFFF>3</color> → <color=#FFFFFF>4</color> HP
キル時","+<color=#FFFFFF>3</color> → <color=#FFFFFF>4</color> HP
on kill","적 처치시 체력
+<color=#FFFFFF>3</color> → <color=#FFFFFF>4</color> ",击杀时+<color=#FFFFFF>3</color> → <color=#FFFFFF>4</color> 生命值。
SKILL_DESC_ABSORB_HEALTH_4,5953688145723392,"+<color=#FFFFFF>4</color> → <color=#FF0000>5</color> HP
キル時","+<color=#FFFFFF>4</color> → <color=#FF0000>5</color> HP
on kill","적 처치시 체력
+<color=#FFFFFF>4</color> → <color=#FF0000>5</color> ",击杀时+<color=#FFFFFF>4</color> → <color=#FF0000>5</color> 生命值。
SKILL_DESC_ABSORB_HEALTH_5,5953691664744448,"+<color=#FF0000>5</color> HP
キル時","+<color=#FF0000>5</color> HP
on kill","적 처치시 체력 
+<color=#FF0000>5</color>",击杀时+<color=#FF0000>5</color> 生命值。
SKILL_DESC_THROW_HIT_MORE_0,5967285466923008,"投擲銃命中 
+<color=#FFFFFF>1</color> enemy","Thrown gun hits 
+<color=#FFFFFF>1</color> enemy","던진 총에 맞는 적 수
+<color=#FFFFFF>1</color>","投掷武器命中 
+<color=#FFFFFF>1</color> enemy"
SKILL_DESC_THROW_HIT_MORE_1,5967286746185728,"投擲銃命中 
+<color=#FFFFFF>1</color> → <color=#FFFFFF>2</color> enemy","Thrown gun hits 
+<color=#FFFFFF>1</color> → <color=#FFFFFF>2</color> enemy","던진 총에 맞는 적 수
+<color=#FFFFFF>1</color> → <color=#FFFFFF>2</color> ","投掷武器命中 
+<color=#FFFFFF>1</color> → <color=#FFFFFF>2</color> enemy"
SKILL_DESC_THROW_HIT_MORE_2,5967287916396544,"投擲銃命中 
+<color=#FFFFFF>2</color> → <color=#FFFFFF>3</color> enemy","Thrown gun hits 
+<color=#FFFFFF>2</color> → <color=#FFFFFF>3</color> enemy","던진 총에 맞는 적 수
+<color=#FFFFFF>2</color> → <color=#FFFFFF>3</color> ","投掷武器命中 
+<color=#FFFFFF>2</color> → <color=#FFFFFF>3</color> enemy"
SKILL_DESC_THROW_HIT_MORE_3,5967289107578880,"投擲銃命中 
+<color=#FFFFFF>3</color> → <color=#FFFFFF>4</color> enemy","Thrown gun hits 
+<color=#FFFFFF>3</color> → <color=#FFFFFF>4</color> enemy","던진 총에 맞는 적 수
+<color=#FFFFFF>3</color> → <color=#FFFFFF>4</color> ","投掷武器命中 
+<color=#FFFFFF>3</color> → <color=#FFFFFF>4</color> enemy"
SKILL_DESC_THROW_HIT_MORE_4,5967290672054272,"投擲銃命中 
+<color=#FFFFFF>4</color> → <color=#FF0000>5</color> enemy","Thrown gun hits 
+<color=#FFFFFF>4</color> → <color=#FF0000>5</color> enemy","던진 총에 맞는 적 수
+<color=#FFFFFF>4</color> → <color=#FF0000>5</color> ","投掷武器命中 
+<color=#FFFFFF>4</color> → <color=#FF0000>5</color> enemy"
SKILL_DESC_THROW_HIT_MORE_5,5967293373186048,"投擲銃命中 
+<color=#FF0000>5</color> enemy","Thrown gun hits 
+<color=#FF0000>5</color> enemy","던진 총에 맞는 적 수
+<color=#FF0000>5</color>","投掷武器命中 
+<color=#FF0000>5</color> enemy"
SKILL_DESC_BONUS_MOVEMENT_SPEED_0,6004833950072832,"+<color=#FFFFFF>10%</color> 移動速度
for 3sec on gun throw","+<color=#FFFFFF>10%</color> move speed
for 3sec on gun throw","총을 던진 후 3초간 이동속도
+<color=#FFFFFF>10%</color>","+<color=#FFFFFF>10%</color> move speed
for 3sec on gun throw"
SKILL_DESC_BONUS_MOVEMENT_SPEED_1,6004834495332352,"+<color=#FFFFFF>10%</color> → <color=#FFFFFF>20%</color>  移動速度
for 3sec on gun throw","+<color=#FFFFFF>10%</color> → <color=#FFFFFF>20%</color>  move speed
for 3sec on gun throw","총을 던진 후 3초간 이동속도
+<color=#FFFFFF>10%</color> → <color=#FFFFFF>20%</color> ","+<color=#FFFFFF>10%</color> → <color=#FFFFFF>20%</color>  move speed
for 3sec on gun throw"
SKILL_DESC_BONUS_MOVEMENT_SPEED_2,6004835262889984,"+<color=#FFFFFF>20%</color> → <color=#FFFFFF>30%</color>  移動速度
for 3sec on gun throw","+<color=#FFFFFF>20%</color> → <color=#FFFFFF>30%</color>  move speed
for 3sec on gun throw","총을 던진 후 3초간 이동속도
+<color=#FFFFFF>20%</color> → <color=#FFFFFF>30%</color> ","+<color=#FFFFFF>20%</color> → <color=#FFFFFF>30%</color>  move speed
for 3sec on gun throw"
SKILL_DESC_BONUS_MOVEMENT_SPEED_3,6004836177248256,"+<color=#FFFFFF>30%</color> → <color=#FFFFFF>40%</color>  移動速度
for 3sec on gun throw","+<color=#FFFFFF>30%</color> → <color=#FFFFFF>40%</color>  move speed
for 3sec on gun throw","총을 던진 후 3초간 이동속도
+<color=#FFFFFF>30%</color> → <color=#FFFFFF>40%</color> ","+<color=#FFFFFF>30%</color> → <color=#FFFFFF>40%</color>  move speed
for 3sec on gun throw"
SKILL_DESC_BONUS_MOVEMENT_SPEED_4,6004836995137536,"+<color=#FFFFFF>40%</color> → <color=#FF0000>50%</color>  移動速度
for 3sec on gun throw","+<color=#FFFFFF>40%</color> → <color=#FF0000>50%</color>  move speed
for 3sec on gun throw","총을 던진 후 3초간 이동속도
+<color=#FFFFFF>40%</color> → <color=#FF0000>50%</color> ","+<color=#FFFFFF>40%</color> → <color=#FF0000>50%</color>  move speed
for 3sec on gun throw"
SKILL_DESC_BONUS_MOVEMENT_SPEED_5,6004840522547200,"+<color=#FF0000>50%</color> 移動速度
for 3sec on gun throw","+<color=#FF0000>50%</color> move speed
for 3sec on gun throw","총을 던진 후 3초간 이동속도
+<color=#FF0000>50%</color>","+<color=#FF0000>50%</color> move speed
for 3sec on gun throw"
SKILL_DESC_BONUS_DAMAGE_RATE_0,6007060605403136,"基本ダメージ
+<color=#FFFFFF>10%</color>","Base damage
+<color=#FFFFFF>10%</color>","기본 피해량
+<color=#FFFFFF>10%</color>","基础伤害
+<color=#FFFFFF>10%</color>"
SKILL_DESC_BONUS_DAMAGE_RATE_1,6007061310046208,"基本ダメージ
+<color=#FFFFFF>10%</color> → <color=#FFFFFF>20%</color> ","Base damage
+<color=#FFFFFF>10%</color> → <color=#FFFFFF>20%</color> ","기본 피해량
+<color=#FFFFFF>10%</color> → <color=#FFFFFF>20%</color> ","基础伤害
+<color=#FFFFFF>10%</color> → <color=#FFFFFF>20%</color> "
SKILL_DESC_BONUS_DAMAGE_RATE_2,6007062002106368,"基本ダメージ
+<color=#FFFFFF>20%</color> → <color=#FFFFFF>30%</color> ","Base damage
+<color=#FFFFFF>20%</color> → <color=#FFFFFF>30%</color> ","기본 피해량
+<color=#FFFFFF>20%</color> → <color=#FFFFFF>30%</color> ","基础伤害
+<color=#FFFFFF>20%</color> → <color=#FFFFFF>30%</color> "
SKILL_DESC_BONUS_DAMAGE_RATE_3,6007062744498176,"基本ダメージ
+<color=#FFFFFF>30%</color> → <color=#FFFFFF>40%</color> ","Base damage
+<color=#FFFFFF>30%</color> → <color=#FFFFFF>40%</color> ","기본 피해량
+<color=#FFFFFF>30%</color> → <color=#FFFFFF>40%</color> ","基础伤害
+<color=#FFFFFF>30%</color> → <color=#FFFFFF>40%</color> "
SKILL_DESC_BONUS_DAMAGE_RATE_4,6007063608524800,"基本ダメージ
+<color=#FFFFFF>40%</color> → <color=#FF0000>50%</color> ","Base damage
+<color=#FFFFFF>40%</color> → <color=#FF0000>50%</color> ","기본 피해량
+<color=#FFFFFF>40%</color> → <color=#FF0000>50%</color> ","基础伤害
+<color=#FFFFFF>40%</color> → <color=#FF0000>50%</color> "
SKILL_DESC_BONUS_DAMAGE_RATE_5,6007065923780608,"基本ダメージ
+<color=#FF0000>50%</color>","Base damage
+<color=#FF0000>50%</color>","기본 피해량
+<color=#FF0000>50%</color>","基础伤害
+<color=#FF0000>50%</color>"
